id,landmark_id,path
9c7ef6de9cc0658f,36748,../input/landmark-recognition-2020/train/9/c/7/9c7ef6de9cc0658f.jpg
af48effb132f3486,194914,../input/landmark-recognition-2020/train/a/f/4/af48effb132f3486.jpg
e3bad21a8658fc4c,149980,../input/landmark-recognition-2020/train/e/3/b/e3bad21a8658fc4c.jpg
15192da43b2c9a87,45428,../input/landmark-recognition-2020/train/1/5/1/15192da43b2c9a87.jpg
2569aea1714f81f2,1924,../input/landmark-recognition-2020/train/2/5/6/2569aea1714f81f2.jpg
8618822e77a17891,161902,../input/landmark-recognition-2020/train/8/6/1/8618822e77a17891.jpg
53300b6871f758db,176528,../input/landmark-recognition-2020/train/5/3/3/53300b6871f758db.jpg
e1e8574be0bd30ed,194914,../input/landmark-recognition-2020/train/e/1/e/e1e8574be0bd30ed.jpg
f009de275b79ffc6,120734,../input/landmark-recognition-2020/train/f/0/0/f009de275b79ffc6.jpg
5a3d2d263fd4229c,168098,../input/landmark-recognition-2020/train/5/a/3/5a3d2d263fd4229c.jpg
2c6bf1280b027088,177870,../input/landmark-recognition-2020/train/2/c/6/2c6bf1280b027088.jpg
b91ce93a9c415a8f,36748,../input/landmark-recognition-2020/train/b/9/1/b91ce93a9c415a8f.jpg
3f7985a8c7b1af71,20120,../input/landmark-recognition-2020/train/3/f/7/3f7985a8c7b1af71.jpg
d66efbfa4423f5ee,149980,../input/landmark-recognition-2020/train/d/6/6/d66efbfa4423f5ee.jpg
82085a7aedc95dd1,176528,../input/landmark-recognition-2020/train/8/2/0/82085a7aedc95dd1.jpg
6dc50c19a75a5a7b,45428,../input/landmark-recognition-2020/train/6/d/c/6dc50c19a75a5a7b.jpg
641a135873d18366,194914,../input/landmark-recognition-2020/train/6/4/1/641a135873d18366.jpg
9083f45a63bca339,126637,../input/landmark-recognition-2020/train/9/0/8/9083f45a63bca339.jpg
84b58739d6db7016,45428,../input/landmark-recognition-2020/train/8/4/b/84b58739d6db7016.jpg
0a475b96aa27f48c,139894,../input/landmark-recognition-2020/train/0/a/4/0a475b96aa27f48c.jpg
fd8d88f852f7f99a,36748,../input/landmark-recognition-2020/train/f/d/8/fd8d88f852f7f99a.jpg
0baf1be104601ec9,83144,../input/landmark-recognition-2020/train/0/b/a/0baf1be104601ec9.jpg
245f09caff3cb8fe,194914,../input/landmark-recognition-2020/train/2/4/5/245f09caff3cb8fe.jpg
aee36e65518df4fb,46705,../input/landmark-recognition-2020/train/a/e/e/aee36e65518df4fb.jpg
d37f73a2873d3f2a,194914,../input/landmark-recognition-2020/train/d/3/7/d37f73a2873d3f2a.jpg
5d6ab22d7ec7a03d,1924,../input/landmark-recognition-2020/train/5/d/6/5d6ab22d7ec7a03d.jpg
db224693bd05deda,20409,../input/landmark-recognition-2020/train/d/b/2/db224693bd05deda.jpg
7ddcf09dab560f22,176018,../input/landmark-recognition-2020/train/7/d/d/7ddcf09dab560f22.jpg
730d62e91ab726e8,20409,../input/landmark-recognition-2020/train/7/3/0/730d62e91ab726e8.jpg
8eced83e90a20607,20120,../input/landmark-recognition-2020/train/8/e/c/8eced83e90a20607.jpg
fe7772ce661c33ed,83144,../input/landmark-recognition-2020/train/f/e/7/fe7772ce661c33ed.jpg
1c8e811239870c1b,168098,../input/landmark-recognition-2020/train/1/c/8/1c8e811239870c1b.jpg
c6895471665dc9e7,46705,../input/landmark-recognition-2020/train/c/6/8/c6895471665dc9e7.jpg
b230ade83c2d7356,36748,../input/landmark-recognition-2020/train/b/2/3/b230ade83c2d7356.jpg
cf022580e2141f42,161902,../input/landmark-recognition-2020/train/c/f/0/cf022580e2141f42.jpg
00cd3cd816e56e2b,20409,../input/landmark-recognition-2020/train/0/0/c/00cd3cd816e56e2b.jpg
4d11b11a61b65906,46705,../input/landmark-recognition-2020/train/4/d/1/4d11b11a61b65906.jpg
57f48f165da2dbae,10419,../input/landmark-recognition-2020/train/5/7/f/57f48f165da2dbae.jpg
5d1d3bc84f0643f8,194914,../input/landmark-recognition-2020/train/5/d/1/5d1d3bc84f0643f8.jpg
eb14aeea423a0872,9070,../input/landmark-recognition-2020/train/e/b/1/eb14aeea423a0872.jpg
4f28a747a0ca629b,176018,../input/landmark-recognition-2020/train/4/f/2/4f28a747a0ca629b.jpg
9e27223d40981886,168098,../input/landmark-recognition-2020/train/9/e/2/9e27223d40981886.jpg
2e1a6af5e1ddd6b0,176528,../input/landmark-recognition-2020/train/2/e/1/2e1a6af5e1ddd6b0.jpg
f3c1185605a60383,149980,../input/landmark-recognition-2020/train/f/3/c/f3c1185605a60383.jpg
960978878f37e10f,177870,../input/landmark-recognition-2020/train/9/6/0/960978878f37e10f.jpg
fabbd4e227a7d043,194914,../input/landmark-recognition-2020/train/f/a/b/fabbd4e227a7d043.jpg
3fc320685c552e20,20120,../input/landmark-recognition-2020/train/3/f/c/3fc320685c552e20.jpg
3c4933430bb75ff2,177870,../input/landmark-recognition-2020/train/3/c/4/3c4933430bb75ff2.jpg
c34f82232e349a2e,10419,../input/landmark-recognition-2020/train/c/3/4/c34f82232e349a2e.jpg
1a95a281803df1e0,83144,../input/landmark-recognition-2020/train/1/a/9/1a95a281803df1e0.jpg
7806893e42a47028,113209,../input/landmark-recognition-2020/train/7/8/0/7806893e42a47028.jpg
5dda90f338004c24,113209,../input/landmark-recognition-2020/train/5/d/d/5dda90f338004c24.jpg
